primary_city,state,county
plainville,MA,norfolk county
attleboro falls,MA,bristol county
north dighton,MA,bristol county
norton,MA,bristol county
raynham,MA,bristol county
raynham center,MA,bristol county
rehoboth,MA,bristol county
rochester,MA,plymouth county
seekonk,MA,bristol county
swansea,MA,bristol county
berkley,MA,bristol county
taunton,MA,bristol county
taunton,MA,bristol county
westport,MA,bristol county
westport point,MA,bristol county
adamsville,RI,newport county
albion,RI,providence county
ashaway,RI,washington county
barrington,RI,bristol county
block island,RI,washington county
bradford,RI,washington county
bristol,RI,bristol county
carolina,RI,washington county
charlestown,RI,washington county
chepachet,RI,providence county
clayville,RI,providence county
coventry,RI,kent county
west greenwich,RI,kent county
east greenwich,RI,kent county
exeter,RI,washington county
fiskeville,RI,providence county
forestdale,RI,providence county
foster,RI,providence county
glendale,RI,providence county
greene,RI,kent county
greenville,RI,providence county
harmony,RI,providence county
harrisville,RI,providence county
hope,RI,providence county
hope valley,RI,washington county
hopkinton,RI,washington county
jamestown,RI,newport county
kenyon,RI,washington county
little compton,RI,newport county
manville,RI,providence county
mapleville,RI,providence county
newport,RI,newport county
newport,RI,newport county
middletown,RI,newport county
north kingstown,RI,washington county
north kingstown,RI,washington county
north scituate,RI,providence county
oakland,RI,providence county
pascoag,RI,providence county
pawtucket,RI,providence county
pawtucket,RI,providence county
pawtucket,RI,providence county
central falls,RI,providence county
cumberland,RI,providence county
lincoln,RI,providence county
portsmouth,RI,newport county
prudence island,RI,newport county
rockville,RI,washington county
saunderstown,RI,washington county
shannock,RI,washington county
slatersville,RI,providence county
slocum,RI,washington county
tiverton,RI,newport county
wakefield,RI,washington county
wakefield,RI,washington county
kingston,RI,washington county
narragansett,RI,washington county
peace dale,RI,washington county
warren,RI,bristol county
warwick,RI,kent county
warwick,RI,kent county
warwick,RI,kent county
warwick,RI,kent county
westerly,RI,washington county
west kingston,RI,washington county
west warwick,RI,kent county
wood river junction,RI,washington county
woonsocket,RI,providence county
north smithfield,RI,providence county
wyoming,RI,washington county
providence,RI,providence county
providence,RI,providence county
providence,RI,providence county
providence,RI,providence county
providence,RI,providence county
providence,RI,providence county
providence,RI,providence county
providence,RI,providence county
providence,RI,providence county
cranston,RI,providence county
north providence,RI,providence county
providence,RI,providence county
east providence,RI,providence county
riverside,RI,providence county
rumford,RI,providence county
smithfield,RI,providence county
providence,RI,providence county
johnston,RI,providence county
cranston,RI,providence county
cranston,RI,providence county
providence,RI,providence county
amherst,NH,hillsborough county
auburn,NH,rockingham county
brookline,NH,hillsborough county
candia,NH,rockingham county
chester,NH,rockingham county
deerfield,NH,rockingham county
derry,NH,rockingham county
east candia,NH,rockingham county
east derry,NH,rockingham county
epping,NH,rockingham county
francestown,NH,hillsborough county
fremont,NH,rockingham county
goffstown,NH,hillsborough county
dunbarton,NH,merrimack county
greenfield,NH,hillsborough county
greenville,NH,hillsborough county
hollis,NH,hillsborough county
hudson,NH,hillsborough county
litchfield,NH,hillsborough county
londonderry,NH,rockingham county
merrimack,NH,hillsborough county
milford,NH,hillsborough county
mont vernon,NH,hillsborough county
nashua,NH,hillsborough county
nashua,NH,hillsborough county
nashua,NH,hillsborough county
nashua,NH,hillsborough county
nashua,NH,hillsborough county
new boston,NH,hillsborough county
new ipswich,NH,hillsborough county
north salem,NH,rockingham county
pelham,NH,hillsborough county
raymond,NH,rockingham county
salem,NH,rockingham county
lyndeborough,NH,hillsborough county
temple,NH,hillsborough county
wilton,NH,hillsborough county
windham,NH,rockingham county
manchester,NH,hillsborough county
manchester,NH,hillsborough county
manchester,NH,hillsborough county
manchester,NH,hillsborough county
manchester,NH,hillsborough county
hooksett,NH,merrimack county
manchester,NH,hillsborough county
manchester,NH,hillsborough county
manchester,NH,hillsborough county
bedford,NH,hillsborough county
manchester,NH,hillsborough county
waterville valley,NH,grafton county
andover,NH,merrimack county
ashland,NH,grafton county
barnstead,NH,belknap county
belmont,NH,belknap county
bradford,NH,merrimack county
bristol,NH,grafton county
campton,NH,grafton county
canterbury,NH,merrimack county
center barnstead,NH,belknap county
center harbor,NH,belknap county
center sandwich,NH,carroll county
contoocook,NH,merrimack county
danbury,NH,merrimack county
east andover,NH,merrimack county
elkins,NH,merrimack county
epsom,NH,merrimack county
franklin,NH,merrimack county
gilmanton,NH,belknap county
glencliff,NH,grafton county
grafton,NH,grafton county
hebron,NH,grafton county
henniker,NH,merrimack county
hill,NH,merrimack county
hillsborough,NH,hillsborough county
holderness,NH,grafton county
laconia,NH,belknap county
laconia,NH,belknap county
gilford,NH,belknap county
lincoln,NH,grafton county
lochmere,NH,belknap county
meredith,NH,belknap county
moultonborough,NH,carroll county
newbury,NH,merrimack county
new hampton,NH,belknap county
new london,NH,merrimack county
chichester,NH,merrimack county
north sandwich,NH,carroll county
north sutton,NH,merrimack county
northwood,NH,rockingham county
north woodstock,NH,grafton county
pittsfield,NH,merrimack county
plymouth,NH,grafton county
rumney,NH,grafton county
salisbury,NH,merrimack county
sanbornton,NH,belknap county
south newbury,NH,merrimack county
south sutton,NH,merrimack county
stinson lake,NH,grafton county
suncook,NH,merrimack county
tilton,NH,belknap county
warner,NH,merrimack county
warren,NH,grafton county
washington,NH,sullivan county
weare,NH,hillsborough county
wentworth,NH,grafton county
springfield,NH,sullivan county
thornton,NH,grafton county
wilmot,NH,merrimack county
winnisquam,NH,belknap county
nottingham,NH,rockingham county
west nottingham,NH,rockingham county
woodstock,NH,grafton county
tilton,NH,belknap county
tilton,NH,belknap county
concord,NH,merrimack county
concord,NH,merrimack county
concord,NH,merrimack county
bow,NH,merrimack county
concord,NH,merrimack county
loudon,NH,merrimack county
keene,NH,cheshire county
keene,NH,cheshire county
antrim,NH,hillsborough county
ashuelot,NH,cheshire county
bennington,NH,hillsborough county
chesterfield,NH,cheshire county
dublin,NH,cheshire county
sullivan,NH,cheshire county
swanzey,NH,cheshire county
fitzwilliam,NH,cheshire county
gilsum,NH,cheshire county
hancock,NH,hillsborough county
harrisville,NH,cheshire county
hinsdale,NH,cheshire county
jaffrey,NH,cheshire county
marlborough,NH,cheshire county
marlow,NH,cheshire county
nelson,NH,cheshire county
peterborough,NH,hillsborough county
rindge,NH,cheshire county
spofford,NH,cheshire county
stoddard,NH,cheshire county
troy,NH,cheshire county
west chesterfield,NH,cheshire county
westmoreland,NH,cheshire county
west peterborough,NH,hillsborough county
west swanzey,NH,cheshire county
winchester,NH,cheshire county
littleton,NH,grafton county
berlin,NH,coos county
bethlehem,NH,grafton county
bretton woods,NH,coos county
colebrook,NH,coos county
errol,NH,coos county
