state,county,poverty_pct,med_income
FL,okeechobee county,25.9,37065
FL,orange county,18.2,47069
FL,osceola county,19.3,42945
FL,palm beach county,14.9,52225
FL,pasco county,14.7,45219
FL,pinellas county,15.2,45162
FL,polk county,18.1,42768
FL,putnam county,28.5,32054
FL,st. johns county,8.2,66560
FL,st. lucie county,17.3,42722
FL,santa rosa county,11.2,58587
FL,sarasota county,10.8,52109
FL,seminole county,11.8,56443
FL,sumter county,10.9,51907
FL,suwannee county,23.7,38177
FL,taylor county,23.4,36374
FL,union county,24.3,40207
FL,volusia county,17.7,40881
FL,wakulla county,15.1,51642
FL,walton county,15.8,46867
FL,washington county,20,36482
GA,georgia,18.4,49240
GA,appling county,24.9,36642
GA,atkinson county,26.5,31740
GA,bacon county,25.9,34201
GA,baker county,27.3,43115
GA,baldwin county,29.5,37008
GA,banks county,16.9,46018
GA,barrow county,13,49698
GA,bartow county,14.3,51440
GA,ben hill county,28.5,31081
GA,berrien county,26.7,35078
GA,bibb county,28.2,36014
GA,bleckley county,23.2,40454
GA,brantley county,21.7,36865
GA,brooks county,28.8,32903
GA,bryan county,11.9,66556
GA,bulloch county,31.4,36315
GA,burke county,31.1,35055
GA,butts county,21.3,41505
GA,calhoun county,38.5,30760
GA,camden county,12,51793
GA,candler county,29.1,31829
GA,carroll county,22.9,43442
GA,catoosa county,12.6,50728
GA,charlton county,29.5,34312
GA,chatham county,17.9,50154
GA,chattahoochee county,18.8,45933
GA,chattooga county,21.1,34830
GA,cherokee county,9.3,71168
GA,clarke county,37.8,31487
GA,clay county,37.3,27512
GA,clayton county,22.9,42985
GA,clinch county,28.5,31577
GA,cobb county,13,66970
GA,coffee county,28.1,33125
GA,colquitt county,26.5,33509
GA,columbia county,9.5,68067
GA,cook county,26.1,32408
GA,coweta county,12.5,60809
GA,crawford county,19.9,43111
GA,crisp county,32.5,31176
GA,dade county,16.4,42953
GA,dawson county,11.8,57491
GA,decatur county,27.7,33968
GA,dekalb county,20.4,50597
