state,county,educ_pct
illinois,wabash county,89.9
illinois,warren county,88.5
illinois,washington county,90.9
illinois,wayne county,86.3
illinois,white county,86.6
illinois,whiteside county,87.7
illinois,will county,90.5
illinois,williamson county,88.8
illinois,winnebago county,86.6
illinois,woodford county,93.5
indiana,indiana,87.6
indiana,adams county,83.8
indiana,allen county,89.3
indiana,bartholomew county,89.7
indiana,benton county,88.7
indiana,blackford county,86.5
indiana,boone county,93.7
indiana,brown county,87.7
indiana,carroll county,87.5
indiana,cass county,82.2
indiana,clark county,87
indiana,clay county,86.8
indiana,clinton county,85.7
indiana,crawford county,82.3
indiana,daviess county,77.6
indiana,dearborn county,89.6
indiana,decatur county,88.8
indiana,dekalb county,88.8
indiana,delaware county,88
indiana,dubois county,86.6
indiana,elkhart county,80.8
indiana,fayette county,80.1
indiana,floyd county,88.4
indiana,fountain county,86.8
indiana,franklin county,85.8
indiana,fulton county,84.9
indiana,gibson county,90
indiana,grant county,85.5
indiana,greene county,84.5
indiana,hamilton county,96.2
indiana,hancock county,93.6
indiana,harrison county,88.5
indiana,hendricks county,93.6
indiana,henry county,86.3
indiana,howard county,88.7
indiana,huntington county,88.9
indiana,jackson county,87.1
indiana,jasper county,87.9
indiana,jay county,84.2
indiana,jefferson county,85
indiana,jennings county,84.8
indiana,johnson county,91.7
indiana,knox county,87.3
indiana,kosciusko county,85.1
indiana,lagrange county,63.1
indiana,lake county,87
indiana,laporte county,86.8
indiana,lawrence county,85
indiana,madison county,87.1
indiana,marion county,84.9
indiana,marshall county,85.1
indiana,martin county,82
indiana,miami county,84.4
indiana,monroe county,92.2
indiana,montgomery county,88.6
indiana,morgan county,88.1
indiana,newton county,85.8
indiana,noble county,84
indiana,ohio county,85.8
indiana,orange county,82
indiana,owen county,83.1
indiana,parke county,84.7
indiana,perry county,84.5
indiana,pike county,87.3
indiana,porter county,91.6
indiana,posey county,92.7
indiana,pulaski county,84.8
indiana,putnam county,87.4
indiana,randolph county,84.8
indiana,ripley county,87.1
indiana,rush county,85.8
indiana,st  joseph county,88.4
indiana,scott county,80.6
indiana,shelby county,86.5
indiana,spencer county,87.4
indiana,starke county,82.5
indiana,steuben county,89
indiana,sullivan county,85.6
indiana,switzerland county,82.4
indiana,tippecanoe county,90.8
indiana,tipton county,87.9
indiana,union county,87.4
indiana,vanderburgh county,89.6
indiana,vermillion county,88.7
indiana,vigo county,86.9
indiana,wabash county,88
indiana,warren county,86.3
indiana,warrick county,93
indiana,washington county,80.9
indiana,wayne county,84.2
indiana,wells county,89.6
indiana,white county,88.8
indiana,whitley county,91.1
iowa,iowa,91.3
iowa,adair county,91.8
iowa,adams county,90.5
iowa,allamakee county,88.3
iowa,appanoose county,87.6
iowa,audubon county,91.1
iowa,benton county,92.1
iowa,black hawk county,89.7
iowa,boone county,93.9
iowa,bremer county,94.3
iowa,buchanan county,91.7
iowa,buena vista county,78.9
iowa,butler county,91.5
iowa,calhoun county,90.5
iowa,carroll county,91.6
iowa,cass county,92.5
iowa,cedar county,92.1
iowa,cerro gordo county,93
iowa,cherokee county,91.5
iowa,chickasaw county,89.3
iowa,clarke county,87.7
iowa,clay county,93.6
iowa,clayton county,91.8
iowa,clinton county,90.6
iowa,crawford county,78.1
iowa,dallas county,94.4
iowa,davis county,86.3
iowa,decatur county,86.3
iowa,delaware county,90
iowa,des moines county,90.7
iowa,dickinson county,95
iowa,dubuque county,91.9
iowa,emmet county,88.4
iowa,fayette county,89.5
iowa,floyd county,89.5
iowa,franklin county,85.7
iowa,fremont county,92.3
iowa,greene county,90.6
iowa,grundy county,94.2
iowa,guthrie county,92.2
iowa,hamilton county,90.8
iowa,hancock county,92.3
iowa,hardin county,90.7
iowa,harrison county,91.3
iowa,henry county,91.3
iowa,howard county,87.6
iowa,humboldt county,91.6
iowa,ida county,90
iowa,iowa county,93
iowa,jackson county,90.4
iowa,jasper county,91.4
iowa,jefferson county,94.7
iowa,johnson county,94.8
iowa,jones county,91.4
iowa,keokuk county,90.5
iowa,kossuth county,93.4
iowa,lee county,91
iowa,linn county,94.1
iowa,louisa county,83.1
iowa,lucas county,90.6
iowa,lyon county,90.6
iowa,madison county,94.4
iowa,mahaska county,90.8
iowa,marion county,92.8
iowa,marshall county,84.7
iowa,mills county,93.7
iowa,mitchell county,90.6
iowa,monona county,91.1
iowa,monroe county,88.2
iowa,montgomery county,87.9
iowa,muscatine county,85.1
iowa,o brien county,91.4
iowa,osceola county,87.2
iowa,page county,88.7
iowa,palo alto county,91.9
iowa,plymouth county,92.3
iowa,pocahontas county,92.9
iowa,polk county,91.9
iowa,pottawattamie county,89.6
iowa,poweshiek county,92
iowa,ringgold county,88
iowa,sac county,91.7
iowa,scott county,92.6
iowa,shelby county,91.6
iowa,sioux county,88.6
iowa,story county,95.8
iowa,tama county,90.4
iowa,taylor county,90.9
iowa,union county,91.2
iowa,van buren county,88.6
iowa,wapello county,84
iowa,warren county,95.8
iowa,washington county,90.1
iowa,wayne county,89.4
